basin_id,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean
FR002079,R025001001,R0250010,FR,FR_EAUFRANCE,Le Son-Sonnette à Saint-Front,0.287436,45.892775,0.287436,45.892775,,192.35,191.775,0,0.298934234468411,1997-01-01,2023-09-30,27,295,8733,5262,1036.0,8325.0,0.0,408.0,D,,742,1,['FR002079'],0.777,0.33,2.09,3.835,0.59,133.235,15.474,0.084,2.861,7.313,2.932,93.669,22.384,0.0,2.322,2.53,1.09,-0.183,0.008,18.056,1.23,2.0,234.18,4.63,4.0,233.029,153.775,70.522,2.74,67.889,0.012,0.61,0.209,8,1.022,0.0,0.0,70.931,29.069,29.069,0.0,0.0,70.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.676,84.324,0.0,0.0,0.0,0.0,0.0,15.676,0.0,0.0,92.974,130.0,30.0,57.076,42.277,36.892,20.831,5.908,1.405,1.101,0.152,0.654,0.029,0.261,0.429,0.273,0.006,0.69,0.0,0.0,0.0,0.0,0.0,0.593,7.076,9.969,2.0
AT000509,211813,Frauental (Wildbach),AT,AT_EHYD,Wildbach,15.25660848,46.8281576,15.25660847996411,46.82815760296295,327,50.5,50.175,0,0.6435643564356491,1989-01-02,2020-12-31,32,384,11687,11687,0.0,0.0,11687.0,0.0,B,,2,1,['AT000509'],0.847,0.31,1.74,2.213,0.627,178.0,68.932,0.102,2.325,3.032,1.732,44.473,7.223,0.0,2.711,2.013,0.742,0.574,0.099,21.022,1.196,4.0,248.738,4.429,2.0,1534.535,823.896,331.529,13.407,6.884,38.488,0.505,0.255,2,1.437,0.0,78.482,21.518,0.0,0.0,0.0,21.518,0.0,78.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.015,16.957,75.028,0.0,0.0,0.0,8.015,0.0,0.0,0.0,64.0,70.0,50.0,50.758,47.4,34.16,18.44,8.3,1.444,1.637,0.216,0.675,0.009,0.02,0.23500000000000001,0.734,0.002,0.255,0.0,0.0,0.0,0.0,0.0,8.216,0.0,0.0,3.0
DENW1214,4529500000100,Ottbergen,DE,DE_NW,Nethe,9.3215722576069,51.70843708612784,9.3215722576069,51.70843708612784,"101,49",431.05,431.183,0,-0.0308548892239836,1977-01-11,2022-12-05,46,552,16288,16098,477.0,0.0,16288.0,0.0,B,,79,3,"['DENW1055', 'DENW1214', 'DENW1236']",1.089,0.493,1.239,2.099,0.595,155.047,20.411,0.298,2.982,1.816,1.286,1.009,1.875,0.0,2.181,1.959,0.898,0.03,0.049,16.192,1.175,4.0,219.675,3.81,3.0,442.816,238.633,103.012,4.831,38.711,1.845,0.71,0.153,8,1.109,0.0,0.0,98.799,1.201,0.559,0.642,29.272,69.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.452,73.158,16.391000000000002,0.0,0.0,0.0,0.0,5.923,4.529,0.0,125.463,130.0,30.0,56.272,37.211,40.546,22.243,4.106,1.398,1.009,0.155,0.584,0.041,0.486,0.14,0.33099999999999996,0.0,0.626,0.0,0.0,0.0,0.0,0.0,5.31,0.0,0.0,23.0
DENI1841,4836128,Beedenbostel,DE,DE_NI,Weser,10.25155626391086,52.65842202364259,10.25155626391086,52.65842202364259,49.92,148.0,145.986,0,1.3608108108108177,1984-11-01,2017-12-31,34,398,12114,12114,0.0,0.0,12114.0,0.0,B,,188,1,['DENI1841'],0.449,0.23,1.04,1.427,0.748,147.156,16.181,0.143,1.053,0.211,2.333,0.874,3.222,0.0,1.896,2.007,1.059,0.094,0.04,17.13,1.167,4.0,230.492,4.066,3.0,137.214,83.517,51.135,1.172,96.203,0.0,0.592,0.139,11,36.596,0.0,0.0,6.054,93.946,93.946,0.0,6.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,113.803,130.0,30.0,48.493,78.296,12.887,8.817,5.401,1.524,5.737,0.179,0.643,0.022,0.275,0.09,0.5970000000000001,0.004,0.365,0.0,0.0,1.0,0.18,0.44,5.297,19.161,32.519,11.0
DEBY0853,24125006,Kulmbach,DE,DE_BY,Roter Main,11.42635851892181,50.07534671598739,11.42635851892181,50.07534671598739,293.00,496.3,503.852,0,-1.5216602861172606,1945-11-01,2023-08-19,79,892,26414,25994,2002.0,0.0,26414.0,0.0,C,,1,6,"['DEBY0438', 'DEBY0473', 'DEBY0529', 'DEBY0770', 'DEBY0848', 'DEBY0853']",0.819,0.361,1.555,1.934,0.612,150.939,31.077,0.187,2.435,5.841,2.151,10.949,5.329,0.0,2.24,2.038,0.91,0.06,0.09,16.464,1.172,4.0,225.73,4.077,3.0,1018.459,453.267,295.628,5.189,36.734,3.436,0.608,0.184,9,1.169,1.281,8.876,85.448,4.395,0.0,4.395,77.422,8.026,8.876,0.0,0.0,0.0,0.0,0.0,1.281,0.0,0.0,0.0,70.249,19.78,0.0,9.971,0.0,0.0,0.0,0.0,70.249,0.0,112.016,130.0,30.0,49.948,51.595,23.542,24.864,4.482,1.462,1.622,0.156,0.587,0.066,0.171,0.385,0.36900000000000005,0.001,0.556,0.0,0.0,0.0,0.0,0.0,7.464,0.0,0.0,37.0
DEST1801,594010,Dobbrun,DE,DE_ST,Biese,11.774994,52.832758,11.774994,52.832758,,1597.0,1597.763,0,-0.0477770820287989,1970-11-01,2020-12-31,49,566,17228,13210,1096.0,0.0,17228.0,0.0,C,,169,11,"['DEST1800', 'DEST1801', 'DEST1805', 'DEST1806', 'DEST1807', 'DEST1808', 'DEST1809', 'DEST1810', 'DEST1811', 'DEST1812', 'DEST1813']",0.313,0.217,1.655,2.378,0.728,144.4,18.195,0.042,0.86,0.424,5.0,34.642,18.156,0.0,1.454,2.095,1.441,0.235,0.047,17.661,1.152,4.0,249.895,4.417,3.0,149.719,44.945,17.598,0.886,96.811,0.0,0.668,0.184,11,38.295,0.0,0.0,29.583,70.417,69.018,1.399,29.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.756,95.244,0.0,0.0,130.0,130.0,130.0,47.514,62.967,23.384,13.649,6.294,1.525,0.977,0.143,0.578,0.041999999999999996,0.577,0.173,0.19200000000000003,0.009000000000000001,0.75,0.0,0.0,1.0,0.23,0.72,4.254,193.82,18.128,44.0
PL001234,154200020,KROSNO,PL,PL_IMGW,Drwêca Warmiñska (566),20.17266611111111,54.13082055555556,20.17266611111111,54.13082055555556,,282.72,288.0,0,-1.8675721561969345,2000-11-01,2022-10-31,23,264,8035,8035,0.0,0.0,8035.0,0.0,B,,1752,1,['PL001234'],0.605,0.399,1.108,2.251,0.664,144.0,25.702,0.117,1.714,2.136,3.615,19.274,12.114,0.0,1.575,1.85,1.174,0.353,0.087,18.11,1.213,4.0,247.514,4.423,3.0,177.982,94.005,50.282,1.832,83.937,0.0,0.655,0.156,11,28.947,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.157,0.0,0.0,58.844,0.0,0.0,0.0,41.157,0.0,0.0,130.0,130.0,130.0,46.903,58.571,22.824,18.606,5.003,1.496,2.029,0.151,0.551,0.009,0.475,0.10500000000000001,0.35200000000000004,0.051,0.58,0.0,0.0,2.0,1.47,5.81,10.612,1.763,1.734,8.0
BEVL0190,01L09_138,Bilzen,BE,BE_WATERINFO,Demer,5.497,50.892,5.497,50.892,,,75.0,5,,1972-02-29,2023-10-10,51,608,18205,2901,647.0,0.0,18205.0,0.0,B,,11,1,['BEVL0190'],0.657,0.32,1.15,1.955,0.605,150.342,17.29,0.143,1.809,1.533,1.267,15.374,4.823,0.0,2.072,2.085,1.006,0.085,0.019,15.484,1.155,4.0,221.689,3.986,3.0,128.674,78.016,33.664,1.852,85.272,0.0,0.601,0.142,11,1.754,0.0,0.0,1.347,98.653,98.653,0.0,0.0,1.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,130.0,70.0,55.274,46.613,34.587,18.8,5.453,1.445,0.945,0.113,0.583,0.312,0.336,0.27699999999999997,0.058,0.009,0.613,0.0,0.0,0.0,0.0,0.0,1.959,0.0,0.078,8.0
ES001312,3149,ALMOGUERA                          ,ES,ES_CEDEX,,-2.96811838,40.26138913,-2.968118385383963,40.2613891354515,575,7880.0,7849.721,0,0.3842512690355387,2010-10-01,2019-09-30,10,108,3287,3287,0.0,0.0,3287.0,0.0,B,,597,27,"['ES001231', 'ES001235', 'ES001236', 'ES001237', 'ES001238', 'ES001239', 'ES001253', 'ES001257', 'ES001258', 'ES001259', 'ES001260', 'ES001261', 'ES001262', 'ES001263', 'ES001264', 'ES001312', 'ES001331', 'ES001332', 'ES001345', 'ES001359', 'ES001395', 'ES001412', 'ES001413', 'ES001414', 'ES001415', 'ES001427', 'ES001433']",0.119,0.101,-0.293,1.881,0.846,250.444,6.307,0.061,0.239,,,,,0.0,1.301,3.029,2.328,-0.185,0.029,25.947,1.359,3.0,281.108,7.042,4.0,1926.059,1097.941,573.615,7.71,24.508,13.138,0.644,0.173,8,2.375,0.0,1.715,84.42699999999999,11.03,10.04,0.99,38.553,45.874,1.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.787000000000006,48.726,2.172,3.315,0.115,5.211,8.191,0.0,4.295,27.975,82.643,150.0,0.0,53.27,33.299,36.416,28.439,13.409,1.329,1.363,0.073,0.435,0.002,0.225,0.067,0.405,0.29300000000000004,0.29200000000000004,9.0,8.0,9.0,56.81,2480.42,0.942,18.984,126.328,1.0
GB000490,55032,Elan at Caban Dam,GB,GB_NRFA,Elan at Caban Dam,-3.57,52.27,-3.57,52.27,209.7,183.78,183.857,0,-0.0418979214277931,1908-01-01,2021-09-30,114,1364,41488,30163,59.0,0.0,41488.0,0.0,B,,1098,1,['GB000490'],2.213,0.567,0.711,1.707,0.428,122.899,32.013,0.328,9.815,31.137,2.921,82.781,16.016,0.0,3.908,1.615,0.413,-0.174,0.019,8.831,1.109,1.0,178.55,3.501,4.0,635.464,449.674,217.724,7.653,20.034,10.944,0.664,0.161,10,1.103,0.0,0.0,7.788,88.253,0.0,88.253,7.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,70.214,130.0,0.0,75.306,35.807,40.326,19.588,7.572,0.9,9.154,0.105,0.494,0.0,0.0,0.002,0.028999999999999998,0.189,0.002,5.0,5.0,6.0,5.73,98.45,6.452,0.0,0.0,2.0
FR000077,A204010101,A2042010,FR,FR_EAUFRANCE,La Fecht à Wintzenheim [La Forge],7.232119,48.063425,7.232119,48.063425,279,211.0,211.718,0,-0.3402843601895683,1958-01-01,2007-01-08,48,556,16844,9875,1061.0,16743.0,0.0,101.0,C,,1,9,"['FR000071', 'FR000072', 'FR000073', 'FR000074', 'FR000075', 'FR000076', 'FR000077', 'FR000078', 'FR003197']",2.083,0.591,1.587,2.684,0.576,140.932,28.826,0.291,6.693,5.811,2.505,43.477,7.318,0.0,3.439,1.937,0.563,-0.122,0.069,15.484,1.238,2.0,207.933,3.843,1.0,1352.514,763.145,280.06,17.498,4.586,63.536,0.647,0.115,4,0.74,66.196,2.148,0.0,31.656,0.0,31.656,0.0,0.0,2.148,0.0,0.0,0.0,0.0,0.0,66.196,0.0,0.0,0.0,8.142,0.0,0.0,91.858,0.0,0.0,8.142,0.0,0.0,0.0,98.857,130.0,30.0,41.432,75.657,15.129,9.214,8.648,1.604,1.315,0.219,0.668,0.04,0.019,0.146,0.6829999999999999,0.11200000000000002,0.16499999999999998,2.0,1.0,0.0,0.0,0.0,8.252,0.0,2.443,10.0
ES000865,4224,"PROVENCIO, EL                      ",ES,ES_CEDEX,,-2.57863441,39.35852167,-2.578634414088764,39.35852167707073,698,2020.0,2134.185,0,-5.652722772277225,1976-03-16,2019-09-30,41,443,13014,4994,2890.0,0.0,13014.0,0.0,D,,578,2,"['ES000852', 'ES000865']",0.024,0.023,4.873,,,158.345,62.01,0.0,0.097,94.077,43.532,201.205,125.772,0.344,1.096,3.291,3.003,-0.054,0.009,28.26,1.426,3.0,297.49,8.767,4.0,1169.862,823.895,693.679,2.556,71.074,0.315,0.571,0.186,8,6.024,0.0,0.0,75.901,24.099,11.462,12.637,35.592,40.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.332,35.455,0.0,0.213,0.0,0.0,23.572,0.0,0.0,40.76,93.953,150.0,0.0,57.076,28.551,35.86,35.401,8.463,1.312,0.895,0.044,0.297,0.006,0.648,0.168,0.075,0.097,0.8160000000000001,0.0,0.0,2.0,0.71,1.21,0.446,63.165,161.645,0.0
